indices,samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
87,1000,25,4,,158,7,151,799,43,4.43,94.89,14,84.11
88,1000,30,4,,202,13,189,761,37,6.44,95.36,26,80.11
89,1000,40,4,,296,14,282,668,36,4.73,94.89,28,70.32
90,1000,50,4,,297,15,282,668,35,5.05,95.02,30,70.32
91,1000,60,4,,326,19,307,643,31,5.83,95.4,38,67.68
92,1000,70,4,,388,20,368,582,30,5.15,95.1,40,61.26
93,1000,75,4,,421,19,402,548,31,4.51,94.65,38,57.68
94,1000,80,4,,426,23,403,547,27,5.4,95.3,46,57.58
95,1000,90,4,,468,19,449,501,31,4.06,94.17,38,52.74
96,1000,100,4,,491,27,464,486,23,5.5,95.48,54,51.16
97,1000,10,5,,75,5,70,880,45,6.67,95.14,10,92.63
98,1000,20,5,,149,10,139,811,40,6.71,95.3,20,85.37
99,1000,25,5,,172,2,170,780,48,1.16,94.2,4,82.11
100,1000,30,5,,167,9,158,792,41,5.39,95.08,18,83.37
101,1000,40,5,,258,11,247,703,39,4.26,94.74,22,74
102,1000,50,5,,279,16,263,687,34,5.73,95.28,32,72.32
103,1000,60,5,,366,19,347,603,31,5.19,95.11,38,63.47
104,1000,70,5,,372,19,353,597,31,5.11,95.06,38,62.84
105,1000,75,5,,411,18,393,557,32,4.38,94.57,36,58.63
106,1000,80,5,,430,23,407,543,27,5.35,95.26,46,57.16
107,1000,90,5,,454,17,437,513,33,3.74,93.96,34,54
108,1000,100,5,,515,33,482,468,17,6.41,96.49,66,49.26
109,1000,10,6,,92,2,90,860,48,2.17,94.71,4,90.53
110,1000,20,6,,157,12,145,805,38,7.64,95.49,24,84.74
111,1000,25,6,,161,8,153,797,42,4.97,94.99,16,83.89
112,1000,30,6,,212,7,205,745,43,3.3,94.54,14,78.42
113,1000,40,6,,271,12,259,691,38,4.43,94.79,24,72.74
114,1000,50,6,,280,16,264,686,34,5.71,95.28,32,72.21
115,1000,60,6,,320,13,307,643,37,4.06,94.56,26,67.68
116,1000,70,6,,411,19,392,558,31,4.62,94.74,38,58.74
117,1000,75,6,,392,22,370,580,28,5.61,95.39,44,61.05
118,1000,80,6,,432,22,410,540,28,5.09,95.07,44,56.84
119,1000,90,6,,424,19,405,545,31,4.48,94.62,38,57.37
120,1000,100,6,,490,27,463,487,23,5.51,95.49,54,51.26
121,1000,10,7,,73,6,67,883,44,8.22,95.25,12,92.95
122,1000,20,7,,138,10,128,822,40,7.25,95.36,20,86.53
123,1000,25,7,,154,6,148,802,44,3.9,94.8,12,84.42
124,1000,30,7,,239,9,230,720,41,3.77,94.61,18,75.79
125,1000,40,7,,224,15,209,741,35,6.7,95.49,30,78
126,1000,50,7,,289,13,276,674,37,4.5,94.8,26,70.95
127,1000,60,7,,361,13,348,602,37,3.6,94.21,26,63.37
128,1000,70,7,,413,21,392,558,29,5.08,95.06,42,58.74
129,1000,75,7,,438,26,412,538,24,5.94,95.73,52,56.63
130,1000,80,7,,411,19,392,558,31,4.62,94.74,38,58.74
131,1000,90,7,,451,19,432,518,31,4.21,94.35,38,54.53
132,1000,100,7,,521,33,488,462,17,6.33,96.45,66,48.63
133,2500,10,2,,261,10,251,2124,115,3.83,94.86,8,89.43
134,2500,20,2,,309,15,294,2081,110,4.85,94.98,12,87.62
135,2500,25,2,,407,24,383,1992,101,5.9,95.17,19.2,83.87
136,2500,30,2,,483,25,458,1917,100,5.18,95.04,20,80.72
137,2500,40,2,,588,37,551,1824,88,6.29,95.4,29.6,76.8
138,2500,50,2,,715,32,683,1692,93,4.48,94.79,25.6,71.24
139,2500,60,2,,804,40,764,1611,85,4.98,94.99,32,67.83
140,2500,70,2,,871,41,830,1545,84,4.71,94.84,32.8,65.05
141,2500,75,2,,960,42,918,1457,83,4.38,94.61,33.6,61.35
142,2500,80,2,,1014,49,965,1410,76,4.83,94.89,39.2,59.37
143,2500,90,2,,1062,45,1017,1358,80,4.24,94.44,36,57.18
144,2500,100,2,,1216,54,1162,1213,71,4.44,94.47,43.2,51.07
145,2500,10,3,,256,8,248,2127,117,3.12,94.79,6.4,89.56
146,2500,20,3,,344,14,330,2045,111,4.07,94.85,11.2,86.11
147,2500,25,3,,389,15,374,2001,110,3.86,94.79,12,84.25
148,2500,30,3,,510,25,485,1890,100,4.9,94.97,20,79.58
149,2500,40,3,,606,29,577,1798,96,4.79,94.93,23.2,75.71
150,2500,50,3,,723,36,687,1688,89,4.98,94.99,28.8,71.07
151,2500,60,3,,786,38,748,1627,87,4.83,94.92,30.4,68.51
152,2500,70,3,,993,49,944,1431,76,4.93,94.96,39.2,60.25
153,2500,75,3,,968,52,916,1459,73,5.37,95.23,41.6,61.43
154,2500,80,3,,994,47,947,1428,78,4.73,94.82,37.6,60.13
155,2500,90,3,,1122,62,1060,1315,63,5.53,95.43,49.6,55.37
156,2500,100,3,,1218,66,1152,1223,59,5.42,95.4,52.8,51.49
157,2500,10,4,,171,12,159,2216,113,7.02,95.15,9.6,93.31
158,2500,20,4,,413,17,396,1979,108,4.12,94.83,13.6,83.33
159,2500,25,4,,426,12,414,1961,113,2.82,94.55,9.6,82.57
160,2500,30,4,,469,32,437,1938,93,6.82,95.42,25.6,81.6
161,2500,40,4,,608,31,577,1798,94,5.1,95.03,24.8,75.71
162,2500,50,4,,713,37,676,1699,88,5.19,95.08,29.6,71.54
163,2500,60,4,,842,35,807,1568,90,4.16,94.57,28,66.02
164,2500,70,4,,922,56,866,1509,69,6.07,95.63,44.8,63.54
165,2500,75,4,,963,46,917,1458,79,4.78,94.86,36.8,61.39
166,2500,80,4,,1037,48,989,1386,77,4.63,94.74,38.4,58.36
