indices,samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
78,1000,50,3,,28,1,27,923,49,3.57,94.96,2,97.16
79,1000,60,3,,28,1,27,923,49,3.57,94.96,2,97.16
80,1000,70,3,,32,2,30,920,48,6.25,95.04,4,96.84
81,1000,75,3,,34,0,34,916,50,0,94.82,0,96.42
82,1000,80,3,,31,1,30,920,49,3.23,94.94,2,96.84
83,1000,90,3,,32,3,29,921,47,9.38,95.14,6,96.95
84,1000,100,3,,25,2,23,927,48,8,95.08,4,97.58
85,1000,10,4,,26,1,25,925,49,3.85,94.97,2,97.37
86,1000,20,4,,30,2,28,922,48,6.67,95.05,4,97.05
87,1000,25,4,,24,2,22,928,48,8.33,95.08,4,97.68
88,1000,30,4,,33,1,32,918,49,3.03,94.93,2,96.63
89,1000,40,4,,31,3,28,922,47,9.68,95.15,6,97.05
90,1000,50,4,,32,2,30,920,48,6.25,95.04,4,96.84
91,1000,60,4,,31,0,31,919,50,0,94.84,0,96.74
92,1000,70,4,,30,1,29,921,49,3.33,94.95,2,96.95
93,1000,75,4,,28,3,25,925,47,10.71,95.16,6,97.37
94,1000,80,4,,33,3,30,920,47,9.09,95.14,6,96.84
95,1000,90,4,,30,1,29,921,49,3.33,94.95,2,96.95
96,1000,100,4,,35,0,35,915,50,0,94.82,0,96.32
97,1000,10,5,,33,3,30,920,47,9.09,95.14,6,96.84
98,1000,20,5,,32,2,30,920,48,6.25,95.04,4,96.84
99,1000,25,5,,33,0,33,917,50,0,94.83,0,96.53
100,1000,30,5,,33,2,31,919,48,6.06,95.04,4,96.74
101,1000,40,5,,30,1,29,921,49,3.33,94.95,2,96.95
102,1000,50,5,,29,2,27,923,48,6.9,95.06,4,97.16
103,1000,60,5,,36,2,34,916,48,5.56,95.02,4,96.42
104,1000,70,5,,31,0,31,919,50,0,94.84,0,96.74
105,1000,75,5,,31,1,30,920,49,3.23,94.94,2,96.84
106,1000,80,5,,27,2,25,925,48,7.41,95.07,4,97.37
107,1000,90,5,,32,1,31,919,49,3.12,94.94,2,96.74
108,1000,100,5,,34,1,33,917,49,2.94,94.93,2,96.53
109,1000,10,6,,25,0,25,925,50,0,94.87,0,97.37
110,1000,20,6,,31,4,27,923,46,12.9,95.25,8,97.16
111,1000,25,6,,30,0,30,920,50,0,94.85,0,96.84
112,1000,30,6,,32,2,30,920,48,6.25,95.04,4,96.84
113,1000,40,6,,34,3,31,919,47,8.82,95.13,6,96.74
114,1000,50,6,,30,3,27,923,47,10,95.15,6,97.16
115,1000,60,6,,29,3,26,924,47,10.34,95.16,6,97.26
116,1000,70,6,,33,2,31,919,48,6.06,95.04,4,96.74
117,1000,75,6,,28,2,26,924,48,7.14,95.06,4,97.26
118,1000,80,6,,30,2,28,922,48,6.67,95.05,4,97.05
119,1000,90,6,,32,1,31,919,49,3.12,94.94,2,96.74
120,1000,100,6,,30,1,29,921,49,3.33,94.95,2,96.95
121,1000,10,7,,40,4,36,914,46,10,95.21,8,96.21
122,1000,20,7,,33,4,29,921,46,12.12,95.24,8,96.95
123,1000,25,7,,29,0,29,921,50,0,94.85,0,96.95
124,1000,30,7,,29,1,28,922,49,3.45,94.95,2,97.05
125,1000,40,7,,31,1,30,920,49,3.23,94.94,2,96.84
126,1000,50,7,,37,3,34,916,47,8.11,95.12,6,96.42
127,1000,60,7,,33,2,31,919,48,6.06,95.04,4,96.74
128,1000,70,7,,31,1,30,920,49,3.23,94.94,2,96.84
129,1000,75,7,,31,3,28,922,47,9.68,95.15,6,97.05
130,1000,80,7,,30,0,30,920,50,0,94.85,0,96.84
131,1000,90,7,,34,0,34,916,50,0,94.82,0,96.42
132,1000,100,7,,29,1,28,922,49,3.45,94.95,2,97.05
133,2500,10,2,,82,6,76,2299,119,7.32,95.08,4.8,96.8
134,2500,20,2,,73,3,70,2305,122,4.11,94.97,2.4,97.05
